project_id,estimated_cost_lakh,sanctioned_amount_lakh,expenditure_lakh,released_amount_lakh,remaining_amount_lakh,utilization_pct,cost_overrun_pct
MPL-0001,18.05,16.81,12.885405923579667,14.98,2.09,86.02,-28.61
MPL-0002,38.43,16.076969125049356,11.111382942673139,15.02,3.91,73.98,-71.09
MPL-0003,52.53,53.31,3.218482337673816,48.38,45.16,6.65,-93.87
MPL-0004,54.66,55.00966996317992,18.1597492053817,54.78,36.62,33.15,-66.78
MPL-0005,71.1,67.87,49.86478280531607,66.33,16.47,75.18,-29.87
MPL-0006,43.53,65.88455661275296,14.620299428066286,63.13,48.51,23.16,-66.41
MPL-0007,32.49,30.94,19.57601003977218,27.39,7.81,71.47,-39.75
MPL-0008,76.65,32.06003865152317,88.75192063616143,28.48,-60.27,311.63,15.79
MPL-0009,55.5,56.84,32.483763082947696,48.66,16.18,66.76,-41.47
MPL-0010,9.51,56.54007167975691,6.776216579726932,54.09,47.31,12.53,-28.75
MPL-0011,21.71,20.2,10.049966096000642,17.51,7.46,57.4,-53.71
MPL-0012,21.21,20.351663679753127,13.965204350083651,18.64,4.67,74.92,-34.16
MPL-0013,70.25,71.6,32.71572485694233,63.03,30.31,51.91,-53.43
MPL-0014,49.7,69.85840506804274,27.24761174932987,68.77,41.52,39.62,-45.18
MPL-0015,50.81,50.21,26.46442767783562,46.26,19.8,57.21,-47.91
MPL-0016,52.72,48.32570466015764,58.51418309880598,45.16,-13.35,129.57,10.99
MPL-0017,66.83,63.68,68.43169174392321,60.77,-7.66,112.61,2.4
MPL-0018,53.67,61.588769168183134,17.33027898272913,53.64,36.31,32.31,-67.71
MPL-0019,18.66,17.43,11.71199824032524,16.4,4.69,71.41,-37.23
MPL-0020,78.29,16.9913515388142,50.59635822408559,15.82,-34.78,319.83,-35.37
MPL-0021,29.97,30.19,10.637711804095169,26.58,15.94,40.02,-64.51
MPL-0022,49.8,31.411546310724905,22.18056546254306,31.14,8.96,71.23,-55.46
MPL-0023,75.7,75.78,57.05502552986029,71.22,14.16,80.11,-24.63
MPL-0024,21.81,73.05082154161519,7.412799094581515,69.71,62.3,10.63,-66.01
MPL-0025,44.8,45.13,27.041485084542753,44.32,17.28,61.01,-39.64
MPL-0026,37.84,37.43,1.8984805305778487,35.32,33.42,5.38,-94.98
MPL-0027,65.7,65.27,49.18231517883494,58.37,9.19,84.26,-25.14
MPL-0028,25.23,24.43,10.45602031941911,21.15,10.69,49.44,-58.56
MPL-0029,37.94,35.77,20.015535942425124,32.85,12.83,60.93,-47.24
MPL-0030,43.15,40.99,24.778578745946692,36.18,11.4,68.49,-42.58
MPL-0031,38.86,39.46,16.711188205886042,36.01,19.3,46.41,-57.0
MPL-0032,12.94,13.27,5.056668203483698,13.04,7.98,38.78,-60.92
MPL-0033,51.72,51.84,54.73816900289139,46.59,-8.15,117.49,5.84
MPL-0034,66.0,66.5,35.401606170968584,57.74,22.34,61.31,-46.36
MPL-0035,20.68,20.21,14.90280060838261,18.26,3.36,81.61,-27.94
MPL-0036,49.03,48.71,20.56816326246658,48.03,27.46,42.82,-58.05
MPL-0037,37.26,36.55,22.926955176986347,32.56,9.63,70.41,-38.47
MPL-0038,38.64,38.72,15.239638547834712,36.67,21.43,41.56,-60.56
MPL-0039,50.45,50.63,35.000166238682205,43.04,8.04,81.32,-30.62
MPL-0040,41.8,40.48,30.309954830501592,36.55,6.24,82.93,-27.49
MPL-0041,48.18,46.53,30.76180081314377,41.68,10.92,73.8,-36.15
MPL-0042,27.05,25.13,8.367342251825614,21.98,13.61,38.07,-69.07
MPL-0043,50.46,50.89,18.785993049740117,47.33,28.54,39.69,-62.77
MPL-0044,29.89,28.82,13.891591537510731,26.59,12.7,52.24,-53.52
MPL-0045,62.94,59.12,23.495646778281838,56.39,32.89,41.67,-62.67
MPL-0046,28.75,29.44,14.456739617094506,26.21,11.75,55.16,-49.72
MPL-0047,62.46,61.76,33.41749660225235,54.76,21.34,61.03,-46.5
