agency_id,agency_name,agency_type,district,state
AG001,District Implementation Agency 01,Public Agency,District-01,West Bengal
AG002,District Implementation Agency 02,Local Authority,District-02,Gujarat
AG003,District Implementation Agency 03,Public Agency,District-03,Telangana
AG004,District Implementation Agency 04,Public Agency,District-04,Rajasthan
AG005,District Implementation Agency 05,Local Authority,District-05,Bihar
AG006,District Implementation Agency 06,Local Authority,District-06,Gujarat
AG007,District Implementation Agency 07,Public Agency,District-07,Uttar Pradesh
AG008,District Implementation Agency 08,Government Department,District-08,Gujarat
AG009,District Implementation Agency 09,Public Agency,District-09,Telangana
AG010,District Implementation Agency 10,Public Agency,District-10,Uttar Pradesh
AG011,District Implementation Agency 11,Public Agency,District-11,Bihar
AG012,District Implementation Agency 12,Public Agency,District-12,Telangana
AG013,District Implementation Agency 13,Local Authority,District-13,Karnataka
AG014,District Implementation Agency 14,Public Agency,District-14,Rajasthan
AG015,District Implementation Agency 15,Government Department,District-15,Bihar
AG016,District Implementation Agency 16,Local Authority,District-16,Karnataka
AG017,District Implementation Agency 17,Government Department,District-17,West Bengal
AG018,District Implementation Agency 18,Government Department,District-18,Bihar
AG019,District Implementation Agency 19,Government Department,District-19,West Bengal
AG020,District Implementation Agency 20,Government Department,District-20,Uttar Pradesh
AG021,District Implementation Agency 21,Local Authority,District-21,Karnataka
AG022,District Implementation Agency 22,Local Authority,District-22,Rajasthan
AG023,District Implementation Agency 23,Government Department,District-23,Telangana
AG024,District Implementation Agency 24,Government Department,District-24,Madhya Pradesh
AG025,District Implementation Agency 25,Local Authority,District-25,Gujarat
AG026,District Implementation Agency 26,Local Authority,District-26,Maharashtra
AG027,District Implementation Agency 27,Local Authority,District-27,Rajasthan
AG028,District Implementation Agency 28,Public Agency,District-28,Karnataka
AG029,District Implementation Agency 29,Public Agency,District-29,Madhya Pradesh
AG030,District Implementation Agency 30,Public Agency,District-30,Rajasthan
