payment_id,project_id,vendor_id,payment_date,amount_lakh,payment_stage,payment_status,reference_number
PAY-00001,MPL-0001,V036,2026-08-27,0.58,Mobilization,Processed,REF-0000001
PAY-00002,MPL-0001,V036,2027-01-28,0.01,Mobilization,Processed,REF-0000002
PAY-00003,MPL-0001,V036,2026-09-12,0.17,Foundation,Processed,REF-0000003
PAY-00004,MPL-0001,V036,2026-08-04,6.51,Foundation,Processed,REF-0000004
PAY-00005,MPL-0001,V036,2026-07-23,2.89,Mobilization,Processed,REF-0000005
PAY-00006,MPL-0001,V036,2026-12-14,0.88,Final,Processed,REF-0000006
PAY-00007,MPL-0001,V036,2026-05-07,0.54,Finishing,Processed,REF-0000007
PAY-00008,MPL-0001,V036,2027-02-11,0.96,Execution,Processed,REF-0000008
PAY-00009,MPL-0001,V036,2027-01-28,0.34,Final,Processed,REF-0000009
PAY-00010,MPL-0002,V001,2026-10-04,2.89,Foundation,Processed,REF-0000010
PAY-00011,MPL-0002,V001,2026-08-05,1.56,Execution,Processed,REF-0000011
PAY-00012,MPL-0002,V001,2026-06-04,0.63,Final,Processed,REF-0000012
PAY-00013,MPL-0002,V001,2027-01-08,2.04,Finishing,Processed,REF-0000013
PAY-00014,MPL-0002,V001,2026-05-10,0.29,Finishing,Processed,REF-0000014
PAY-00015,MPL-0002,V001,2026-06-18,1.28,Finishing,Processed,REF-0000015
PAY-00016,MPL-0002,V001,2026-08-27,1.97,Foundation,Processed,REF-0000016
PAY-00017,MPL-0002,V001,2026-10-23,0.45,Mobilization,Processed,REF-0000017
PAY-00018,MPL-0003,V071,2026-06-27,10.0,Finishing,Processed,REF-0000018
PAY-00019,MPL-0003,V071,2026-06-28,10.0,Foundation,Processed,REF-0000019
PAY-00020,MPL-0003,V071,2026-07-01,0.09,Final,Processed,REF-0000020
PAY-00021,MPL-0003,V071,2026-12-03,0.03,Foundation,Processed,REF-0000021
PAY-00022,MPL-0003,V071,2027-02-21,0.15,Execution,Processed,REF-0000022
PAY-00023,MPL-0003,V071,2026-04-06,0.34,Execution,Processed,REF-0000023
PAY-00024,MPL-0003,V071,2026-06-18,0.73,Foundation,Processed,REF-0000024
