progress_id,project_id,update_date,milestone,planned_progress_pct,physical_progress_pct,financial_progress_pct,remarks
PR-00001,MPL-0001,2026-03-04,Planning,12.62,12.23,12.78,Routine progress update
PR-00002,MPL-0001,2026-04-18,Foundation,25.25,1.31,25.55,Routine progress update
PR-00003,MPL-0001,2026-06-02,Execution,37.87,15.02,38.33,Routine progress update
PR-00004,MPL-0001,2026-07-17,Finishing,50.49,8.18,51.1,Routine progress update
PR-00005,MPL-0001,2026-08-31,Inspection,63.11,16.54,63.88,Routine progress update
PR-00006,MPL-0001,2026-10-15,Completion,75.74,13.51,76.65,Routine progress update
PR-00007,MPL-0002,2026-02-10,Planning,9.37,14.32,13.82,Routine progress update
PR-00008,MPL-0002,2026-03-27,Foundation,18.74,19.71,27.65,Routine progress update
PR-00009,MPL-0002,2026-05-11,Execution,28.11,32.85,41.47,Routine progress update
PR-00010,MPL-0002,2026-06-25,Finishing,37.47,41.37,55.29,Routine progress update
PR-00011,MPL-0002,2026-08-09,Inspection,46.84,46.18,69.11,Routine progress update
PR-00012,MPL-0003,2026-03-17,Planning,9.54,4.07,0.86,Routine progress update
PR-00013,MPL-0003,2026-05-01,Foundation,19.07,2.08,1.72,Routine progress update
PR-00014,MPL-0003,2026-06-15,Execution,28.61,10.33,2.59,Routine progress update
PR-00015,MPL-0003,2026-07-30,Finishing,38.15,7.25,3.45,Routine progress update
PR-00016,MPL-0003,2026-09-13,Inspection,47.68,9.94,4.31,Routine progress update
PR-00017,MPL-0003,2026-10-28,Completion,57.22,19.02,5.17,Routine progress update
PR-00018,MPL-0003,2026-12-12,Completion,66.75,23.87,6.04,Routine progress update
PR-00019,MPL-0004,2026-06-29,Planning,8.88,12.83,6.6,Routine progress update
PR-00020,MPL-0004,2026-08-13,Foundation,17.77,18.23,13.2,Routine progress update
PR-00021,MPL-0004,2026-09-27,Execution,26.65,27.57,19.81,Routine progress update
PR-00022,MPL-0004,2026-11-11,Finishing,35.53,35.49,26.41,Routine progress update
PR-00023,MPL-0004,2026-12-26,Inspection,44.41,45.95,33.01,Routine progress update
PR-00024,MPL-0005,2026-02-24,Planning,10.15,8.58,10.5,Routine progress update
PR-00025,MPL-0005,2026-04-10,Foundation,20.3,27.22,20.99,Routine progress update
PR-00026,MPL-0005,2026-05-25,Execution,30.45,28.25,31.49,Routine progress update
PR-00027,MPL-0005,2026-07-09,Finishing,40.6,33.81,41.98,Routine progress update
PR-00028,MPL-0005,2026-08-23,Inspection,50.75,48.56,52.48,Routine progress update
PR-00029,MPL-0005,2026-10-07,Completion,60.9,58.79,62.98,Routine progress update
PR-00030,MPL-0005,2026-11-21,Completion,71.05,67.9,73.47,Routine progress update
PR-00031,MPL-0006,2026-02-05,Planning,11.77,13.73,3.17,Routine progress update
PR-00032,MPL-0006,2026-03-22,Foundation,23.53,21.34,6.34,Routine progress update
PR-00033,MPL-0006,2026-05-06,Execution,35.3,34.67,9.51,Routine progress update
PR-00034,MPL-0006,2026-06-20,Finishing,47.06,39.01,12.68,Routine progress update
PR-00035,MPL-0006,2026-08-04,Inspection,58.83,59.78,15.85,Routine progress update
PR-00036,MPL-0006,2026-09-18,Completion,70.59,64.2,19.02,Routine progress update
PR-00037,MPL-0006,2026-11-02,Completion,82.36,75.32,22.19,Routine progress update
PR-00038,MPL-0007,2026-03-10,Planning,6.24,1.4,9.04,Routine progress update
PR-00039,MPL-0007,2026-04-24,Foundation,12.49,10.96,18.08,Routine progress update
PR-00040,MPL-0007,2026-06-08,Execution,18.73,16.22,27.12,Routine progress update
PR-00041,MPL-0007,2026-07-23,Finishing,24.97,13.48,36.15,Routine progress update
PR-00042,MPL-0007,2026-09-06,Inspection,31.21,16.06,45.19,Routine progress update
PR-00043,MPL-0007,2026-10-21,Completion,37.46,28.41,54.23,Routine progress update
PR-00044,MPL-0007,2026-12-05,Completion,43.7,29.81,63.27,Routine progress update
PR-00045,MPL-0008,2026-02-11,Planning,21.38,22.71,69.21,Routine progress update
PR-00046,MPL-0008,2026-03-28,Foundation,42.76,38.18,100.0,Routine progress update
PR-00047,MPL-0008,2026-05-12,Execution,64.14,58.78,100.0,Routine progress update
PR-00048,MPL-0008,2026-06-26,Finishing,85.52,87.52,100.0,Routine progress update
PR-00049,MPL-0009,2026-02-02,Planning,14.69,13.16,19.05,Routine progress update
PR-00050,MPL-0009,2026-03-19,Foundation,29.39,20.68,38.1,Routine progress update
PR-00051,MPL-0009,2026-05-03,Execution,44.08,49.06,57.15,Routine progress update
PR-00052,MPL-0010,2026-01-17,Planning,22.45,0.29,3.99,Routine progress update
PR-00053,MPL-0010,2026-03-03,Foundation,44.91,21.33,7.99,Routine progress update
PR-00054,MPL-0010,2026-04-17,Execution,67.36,14.05,11.98,Routine progress update
PR-00055,MPL-0011,2026-05-02,Planning,14.68,15.61,12.44,Routine progress update
PR-00056,MPL-0011,2026-06-16,Foundation,29.35,34.6,24.88,Routine progress update
PR-00057,MPL-0011,2026-07-31,Execution,44.03,47.94,37.31,Routine progress update
PR-00058,MPL-0011,2026-09-14,Finishing,58.71,63.97,49.75,Routine progress update
PR-00059,MPL-0012,2026-02-05,Planning,27.7,18.16,22.87,Routine progress update
PR-00060,MPL-0012,2026-03-22,Foundation,55.4,43.96,45.75,Routine progress update
PR-00061,MPL-0012,2026-05-06,Execution,83.1,73.66,68.62,Routine progress update
PR-00062,MPL-0013,2026-05-04,Planning,11.01,11.38,11.42,Routine progress update
PR-00063,MPL-0013,2026-06-18,Foundation,22.03,16.01,22.85,Routine progress update
PR-00064,MPL-0013,2026-08-02,Execution,33.04,17.52,34.27,Routine progress update
PR-00065,MPL-0013,2026-09-16,Finishing,44.06,34.09,45.69,Routine progress update
PR-00066,MPL-0014,2026-02-25,Planning,19.03,15.57,9.75,Routine progress update
PR-00067,MPL-0014,2026-04-11,Foundation,38.07,31.87,19.5,Routine progress update
PR-00068,MPL-0014,2026-05-26,Execution,57.1,39.94,29.25,Routine progress update
PR-00069,MPL-0014,2026-07-10,Finishing,76.14,68.59,39.0,Routine progress update
PR-00070,MPL-0015,2026-03-05,Planning,11.61,12.36,10.54,Routine progress update
PR-00071,MPL-0015,2026-04-19,Foundation,23.22,30.74,21.08,Routine progress update
PR-00072,MPL-0015,2026-06-03,Execution,34.83,35.04,31.62,Routine progress update
PR-00073,MPL-0015,2026-07-18,Finishing,46.45,49.38,42.17,Routine progress update
PR-00074,MPL-0015,2026-09-01,Inspection,58.06,62.23,52.71,Routine progress update
PR-00075,MPL-0016,2026-01-03,Planning,10.12,3.1,30.27,Routine progress update
PR-00076,MPL-0016,2026-02-17,Foundation,20.25,30.63,60.54,Routine progress update
PR-00077,MPL-0016,2026-04-03,Execution,30.37,28.52,90.81,Routine progress update
PR-00078,MPL-0016,2026-05-18,Finishing,40.5,42.31,100.0,Routine progress update
PR-00079,MPL-0017,2026-01-03,Planning,17.87,22.6,26.87,Routine progress update
PR-00080,MPL-0017,2026-02-17,Foundation,35.74,36.81,53.73,Routine progress update
PR-00081,MPL-0017,2026-04-03,Execution,53.61,67.5,80.6,Routine progress update
PR-00082,MPL-0017,2026-05-18,Finishing,71.49,81.21,100.0,Routine progress update
PR-00083,MPL-0018,2026-01-14,Planning,5.35,3.83,4.02,Routine progress update
