project_id,mp_name,state,constituency,district,work_name,work_category,recommendation_date,sanction_date,start_date,estimated_cost_lakh,sanctioned_amount_lakh,expected_completion_date,actual_completion_date,status,agency_id,vendor_id,latitude,longitude,planned_progress_pct,physical_progress_pct,expenditure_lakh,prototype_anomaly_seed
MPL-0001,MP-204,Karnataka,Constituency-092,District-21,Road Project 0001,Road,2026-02-05,2026-03-04,2026-03-04,18.05,16.81,2026-10-27,,Ongoing,AG024,V036,13.444776,77.767767,75.73672595672217,17.154990516816625,12.885405923579668,financial_physical_mismatch
MPL-0002,MP-353,West Bengal,Constituency-078,District-09,Road Project 0001 - Duplicate Candidate,Road,2026-01-11,2026-02-10,2026-02-10,38.43,16.076969125049356,2027-02-03,2027-02-21,Completed,AG026,V001,13.445376,77.768367,46.84225691591738,51.63912775406091,11.11138294267314,estimate_revision;duplicate_candidate
MPL-0003,MP-104,Karnataka,Constituency-049,District-09,Street Lighting Project 0003,Street Lighting,2026-02-26,2026-03-17,2026-03-17,52.53,53.31,2027-02-20,,Ongoing,AG003,V071,14.479176,75.969567,66.75436798912192,14.340819454031609,3.218482337673816,low_expenditure
MPL-0004,MP-333,Tamil Nadu,Constituency-108,District-25,Street Lighting Project 0003 - Duplicate Candidate,Street Lighting,2026-05-31,2026-06-29,2026-06-29,54.66,55.00966996317992,2027-06-18,,Ongoing,AG007,V035,14.479776,75.970167,44.412625650895336,48.45341520580302,18.1597492053817,estimate_revision;duplicate_candidate
MPL-0005,MP-253,Tamil Nadu,Constituency-096,District-18,Street Lighting Project 0005,Street Lighting,2026-02-02,2026-02-24,2026-02-24,71.1,67.87,2027-01-15,2026-09-07,Completed,AG009,V009,10.398076,78.847767,71.0491265912184,67.75302841455301,49.86478280531607,normal
MPL-0006,MP-395,West Bengal,Constituency-049,District-20,Street Lighting Project 0005 - Duplicate Candidate,Street Lighting,2026-01-17,2026-02-05,2026-02-05,43.53,65.88455661275296,2026-12-12,,Ongoing,AG012,V029,10.398676,78.848367,82.36066003166661,73.72316905732836,14.620299428066286,normal;duplicate_candidate
MPL-0007,MP-520,Maharashtra,Constituency-117,District-04,Community Hall Project 0007,Community Hall,2026-02-13,2026-03-10,2026-03-10,32.49,30.94,2027-02-17,,Ongoing,AG022,V069,19.890976,75.391067,43.69867648895684,31.77007344319488,19.57601003977218,normal
MPL-0008,MP-060,West Bengal,Constituency-031,District-29,Community Hall Project 0007 - Duplicate Candidate,Community Hall,2026-01-19,2026-02-11,2026-02-11,76.65,32.06003865152317,2026-12-26,2026-09-20,Completed,AG005,V048,19.891576,75.391667,85.51714219176363,86.69392304988867,88.75192063616143,cost_overrun;duplicate_candidate
MPL-0009,MP-320,Madhya Pradesh,Constituency-052,District-22,Community Hall Project 0009,Community Hall,2026-01-08,2026-02-02,2026-02-02,55.5,56.84,2026-09-02,,Ongoing,AG025,V069,24.714776,80.247767,44.08198274357702,43.690806066778606,32.483763082947696,normal
MPL-0010,MP-527,Madhya Pradesh,Constituency-031,District-09,Community Hall Project 0009 - Duplicate Candidate,Community Hall,2025-12-22,2026-01-17,2026-01-17,9.51,56.54007167975691,2026-10-10,2026-07-14,Completed,AG008,V029,24.715376,80.248367,67.3642062925693,16.550207546537074,6.776216579726932,financial_physical_mismatch;duplicate_candidate
MPL-0011,MP-063,West Bengal,Constituency-052,District-24,Sports Facility Project 0011,Sports Facility,2026-04-17,2026-05-02,2026-05-02,21.71,20.2,2027-02-10,,Ongoing,AG016,V032,22.264776,88.417767,58.707815032350766,56.02654473878902,10.049966096000642,normal
MPL-0012,MP-052,Rajasthan,Constituency-084,District-18,Sports Facility Project 0011 - Duplicate Candidate,Sports Facility,2026-01-31,2026-02-05,2026-02-05,21.21,20.351663679753127,2026-11-20,,Ongoing,AG018,V058,22.265376,88.418367,83.0967274738819,72.75519501811627,13.965204350083653,normal;duplicate_candidate
MPL-0013,MP-293,Rajasthan,Constituency-055,District-23,School Infrastructure Project 0013,School Infrastructure,2026-04-06,2026-05-04,2026-05-04,70.25,71.6,2026-12-24,,Under Review,AG014,V063,25.144776,73.927767,44.05504167708398,32.10246000081536,32.71572485694233,normal
MPL-0014,MP-059,Madhya Pradesh,Constituency-066,District-03,School Infrastructure Project 0013 - Duplicate Candidate,School Infrastructure,2026-02-15,2026-02-25,2026-02-25,49.7,69.85840506804274,2026-09-07,,Ongoing,AG007,V038,25.145376,73.928367,76.13865582084853,65.39629182481315,27.24761174932987,normal;duplicate_candidate
MPL-0015,MP-322,Rajasthan,Constituency-031,District-09,Street Lighting Project 0015,Street Lighting,2026-02-16,2026-03-05,2026-03-05,50.81,50.21,2027-01-27,,Ongoing,AG004,V073,27.229976,77.540767,58.05737034347298,58.89816070787992,26.46442767783562,normal
MPL-0016,MP-251,Madhya Pradesh,Constituency-048,District-10,Street Lighting Project 0015 - Duplicate Candidate,Street Lighting,2025-12-24,2026-01-03,2026-01-03,52.72,48.32570466015764,2026-10-27,,Ongoing,AG030,V010,27.230576,77.541367,40.498968690852365,40.32692558108817,58.51418309880598,cost_overrun;duplicate_candidate
MPL-0017,MP-279,Uttar Pradesh,Constituency-037,District-20,Sports Facility Project 0017,Sports Facility,2025-12-23,2026-01-03,2026-01-03,66.83,63.68,2026-12-19,,Ongoing,AG026,V068,28.544776,77.437767,71.48637932313426,80.14283940953055,68.43169174392321,cost_overrun
MPL-0018,MP-453,Uttar Pradesh,Constituency-071,District-23,Sports Facility Project 0017 - Duplicate Candidate,Sports Facility,2025-12-27,2026-01-14,2026-01-14,53.67,61.588769168183134,2026-08-05,,Ongoing,AG016,V033,28.545376,77.438367,37.42477189894775,32.76301574825969,17.33027898272913,normal;duplicate_candidate
MPL-0019,MP-256,Gujarat,Constituency-086,District-04,Public Library Project 0019,Public Library,2026-05-14,2026-05-30,2026-05-30,18.66,17.43,2027-04-16,2026-12-29,Completed,AG002,V048,22.318676,70.849967,51.95420924615735,59.731801998494326,11.71199824032524,normal
MPL-0020,MP-255,Telangana,Constituency-035,District-06,Public Library Project 0019 - Duplicate Candidate,Public Library,2026-01-31,2026-03-02,2026-03-02,78.29,16.9913515388142,2026-10-09,,Under Review,AG024,V020,22.319276,70.850567,83.47789125648285,72.023191218243,50.59635822408559,payment_milestone_issue;duplicate_candidate
MPL-0021,MP-286,Maharashtra,Constituency-045,District-21,Drainage Project 0021,Drainage,2026-04-07,2026-04-28,2026-04-28,29.97,30.19,2027-01-22,,Ongoing,AG008,V026,19.974476,79.343867,47.51775180742737,36.03836937085931,10.637711804095169,payment_milestone_issue
MPL-0022,MP-524,Bihar,Constituency-015,District-13,Drainage Project 0021 - Duplicate Candidate,Drainage,2026-02-13,2026-03-08,2026-03-08,49.8,31.411546310724905,2026-10-19,,Under Review,AG001,V015,19.975076,79.344467,37.10414585442945,38.22871346415983,22.18056546254306,normal;duplicate_candidate
MPL-0023,MP-128,Telangana,Constituency-093,District-29,Road Project 0023,Road,2026-06-11,2026-06-25,2026-06-25,75.7,75.78,2027-06-24,2027-05-20,Completed,AG017,V069,17.314776,78.897767,45.83693210059539,43.3254748923451,57.05502552986029,normal
MPL-0024,MP-001,Tamil Nadu,Constituency-039,District-10,Road Project 0023 - Duplicate Candidate,Road,2026-05-11,2026-05-22,2026-05-22,21.81,73.05082154161519,2026-12-20,,Under Review,AG023,V038,17.315376,78.898367,55.8529902417398,60.31195056523538,7.412799094581515,normal;duplicate_candidate
MPL-0025,MP-241,Tamil Nadu,Constituency-087,District-10,Drainage Project 0025,Drainage,2026-06-10,2026-06-22,2026-06-22,44.8,45.13,2027-02-11,2026-12-22,Completed,AG015,V057,10.435557,77.995822,87.79076020256699,100.0,27.041485084542757,sudden_progress_jump
MPL-0026,MP-436,Maharashtra,Constituency-029,District-06,Water Supply Project 0026,Water Supply,2025-12-20,2026-01-19,2026-01-19,37.84,37.43,2026-11-11,,Ongoing,AG016,V079,20.946776,77.800067,45.693938020684016,19.84087016667676,1.8984805305778487,low_expenditure
MPL-0027,MP-457,Maharashtra,Constituency-115,District-06,Public Library Project 0027,Public Library,2026-03-30,2026-04-27,2026-04-27,65.7,65.27,2026-11-27,,Under Review,AG008,V016,20.911314,77.685426,89.33408491865464,90.43403592498188,49.18231517883494,normal
MPL-0028,MP-142,Rajasthan,Constituency-020,District-08,Sanitation Project 0028,Sanitation,2026-04-18,2026-05-05,2026-05-05,25.23,24.43,2027-04-10,,Ongoing,AG025,V067,27.567776,76.682367,74.2449674436081,67.40382615993008,10.45602031941911,normal
MPL-0029,MP-489,Karnataka,Constituency-001,District-12,Street Lighting Project 0029,Street Lighting,2026-05-05,2026-05-19,2026-05-19,37.94,35.77,2027-03-14,,Under Review,AG014,V043,12.536576,76.942867,58.10789347753841,66.0143400010223,20.015535942425124,normal
MPL-0030,MP-479,Telangana,Constituency-118,District-05,Public Library Project 0030,Public Library,2026-05-11,2026-06-04,2026-06-04,43.15,40.99,2027-01-26,,Ongoing,AG024,V070,17.262076,80.199167,61.71030965891752,58.26516813033234,24.77857874594669,normal
MPL-0031,MP-389,West Bengal,Constituency-036,District-25,Sports Facility Project 0031,Sports Facility,2026-01-04,2026-01-22,2026-01-22,38.86,39.46,2027-01-01,2027-01-11,Completed,AG022,V004,22.194776,88.227767,44.99509645823877,38.71853536446348,16.711188205886042,normal
MPL-0032,MP-245,Maharashtra,Constituency-017,District-16,Public Library Project 0032,Public Library,2026-02-01,2026-02-27,2026-02-27,12.94,13.27,2027-02-08,,Ongoing,AG002,V045,20.470876,74.578167,37.214197564742165,25.896857540117832,5.056668203483698,normal
MPL-0033,MP-385,Madhya Pradesh,Constituency-051,District-23,Sanitation Project 0033,Sanitation,2026-02-01,2026-02-12,2026-02-12,51.72,51.84,2027-01-13,2026-12-16,Completed,AG025,V048,23.844776,80.447767,41.29930792583937,47.323933760683246,54.73816900289139,cost_overrun
MPL-0034,MP-519,Rajasthan,Constituency-083,District-11,Community Hall Project 0034,Community Hall,2026-06-20,2026-06-25,2026-06-25,66.0,66.5,2027-05-24,,Ongoing,AG023,V039,28.304776,75.007767,66.12629054520238,55.02981140973738,35.401606170968584,normal
MPL-0035,MP-447,Karnataka,Constituency-106,District-24,Street Lighting Project 0035,Street Lighting,2026-01-17,2026-02-09,2026-02-09,20.68,20.21,2026-11-27,,Under Review,AG012,V059,12.434776,75.777767,70.77515777092077,72.32522956009889,14.90280060838261,normal
MPL-0036,MP-265,Karnataka,Constituency-044,District-09,Sanitation Project 0036,Sanitation,2026-02-08,2026-03-04,2026-03-04,49.03,48.71,2026-12-27,2027-03-03,Completed,AG029,V058,14.511971,75.870448,53.50181409402564,52.376557173575925,20.56816326246658,normal
MPL-0037,MP-096,Maharashtra,Constituency-038,District-08,Public Library Project 0037,Public Library,2026-02-14,2026-03-03,2026-03-03,37.26,36.55,2027-03-02,,Ongoing,AG007,V011,19.153076,77.368767,48.21781648683185,46.69186492408348,22.926955176986347,normal
MPL-0038,MP-324,West Bengal,Constituency-016,District-24,Health Facility Project 0038,Health Facility,2026-04-24,2026-05-16,2026-05-16,38.64,38.72,2027-02-08,,Ongoing,AG016,V071,22.297571,88.318648,53.19352134577616,80.60663904082227,15.239638547834712,sudden_progress_jump
MPL-0039,MP-547,Rajasthan,Constituency-017,District-09,Water Supply Project 0039,Water Supply,2026-03-06,2026-03-12,2026-03-12,50.45,50.63,2027-03-12,2027-02-16,Completed,AG024,V062,27.282074,77.472314,67.8234907281766,100.0,35.000166238682205,sudden_progress_jump
MPL-0040,MP-411,Gujarat,Constituency-063,District-03,Drainage Project 0040,Drainage,2026-05-04,2026-05-27,2026-05-27,41.8,40.48,2027-02-03,,Ongoing,AG004,V002,22.321976,73.228967,45.140001871454494,34.27028964949321,30.309954830501592,normal
MPL-0041,MP-305,Gujarat,Constituency-111,District-19,Sports Facility Project 0041,Sports Facility,2026-02-15,2026-03-05,2026-03-05,48.18,46.53,2026-10-01,,Under Review,AG010,V011,21.884776,73.597767,67.7869764975514,69.3921802524914,30.76180081314377,estimate_revision
MPL-0042,MP-299,West Bengal,Constituency-005,District-08,Community Hall Project 0042,Community Hall,2026-05-27,2026-06-10,2026-06-10,27.05,25.13,2027-01-30,,Under Review,AG025,V027,24.113576,88.299167,48.19258477210808,48.33641417481879,8.367342251825614,normal
MPL-0043,MP-074,Madhya Pradesh,Constituency-008,District-06,Community Hall Project 0043,Community Hall,2026-02-07,2026-03-09,2026-03-09,50.46,50.89,2026-07-25,,Delayed,AG022,V030,23.853576,78.785567,45.880056756605526,16.640811791016006,18.78599304974012,delay
MPL-0044,MP-331,West Bengal,Constituency-078,District-09,Sanitation Project 0044,Sanitation,2026-04-25,2026-04-30,2026-04-30,29.89,28.82,2027-04-21,,Under Review,AG015,V016,22.415793,87.325191,49.97354062293447,49.85313500009078,13.891591537510733,normal
MPL-0045,MP-504,West Bengal,Constituency-012,District-16,Sports Facility Project 0045,Sports Facility,2026-05-12,2026-05-28,2026-05-28,62.94,59.12,2026-12-04,,Under Review,AG001,V035,23.914776,87.577767,63.543011254318216,61.27205815156268,23.49564677828184,normal
MPL-0046,MP-414,Karnataka,Constituency-111,District-17,School Infrastructure Project 0046,School Infrastructure,2026-06-22,2026-06-27,2026-06-27,28.75,29.44,2027-04-29,2027-01-02,Completed,AG011,V053,17.284776,77.197767,79.7461319105885,79.84825730796773,14.456739617094506,payment_milestone_issue
MPL-0047,MP-497,Telangana,Constituency-016,District-01,Road Project 0047,Road,2026-03-09,2026-04-03,2026-04-03,62.46,61.76,2027-03-08,,Under Review,AG007,V067,17.399776,78.534467,76.79947948335592,69.27776072706195,33.41749660225235,normal
MPL-0048,MP-299,Gujarat,Constituency-066,District-23,Sanitation Project 0048,Sanitation,2026-05-09,2026-05-22,2026-05-22,14.71,15.14,2027-03-02,,Under Review,AG018,V002,22.814776,70.877767,85.21114331662923,83.36299698856247,4.727571873524427,normal
MPL-0049,MP-349,Madhya Pradesh,Constituency-120,District-26,Water Supply Project 0049,Water Supply,2026-01-17,2026-02-07,2026-02-07,21.72,21.41,2026-11-12,,Under Review,AG015,V071,24.214776,82.717767,76.04609000208187,67.04927358308089,6.14465591631578,normal
MPL-0050,MP-245,Uttar Pradesh,Constituency-074,District-13,Sports Facility Project 0050,Sports Facility,2026-01-27,2026-02-08,2026-02-08,46.78,44.81,2026-11-29,,Ongoing,AG019,V063,27.584776,80.727767,65.3554579388946,65.31091932398542,22.0166159093476,payment_milestone_issue
MPL-0051,MP-451,Tamil Nadu,Constituency-013,District-17,Drainage Project 0051,Drainage,2026-03-21,2026-04-09,2026-04-09,65.05,64.51,2027-03-24,2026-10-11,Completed,AG023,V049,11.424976,79.122467,43.36579261156227,52.591930255722296,20.443897838663947,normal
