"MP Name","Constituency","State","House","Allocated Amount (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Unspent Amount (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Smt. S. Phangnon Konyak (2022-28)","Sitting Rajya Sabha","Nagaland","Rajya Sabha",206563957.11,196106200,94.94,57,18,76,10457757.110000014,123,123,0,"N/A"
"Smt. Darshana Singh (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196994373.87,174994106,88.83,31,16,65.96,22000267.870000005,133,132,1,"N/A"
"Shri Mithlesh Kumar (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,170753928,87.09,195,9,95.59,25310029.110000014,232,232,0,"N/A"
"Smt. Sangeeta Yadav (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,169940841,86.68,43,78,35.54,26123116.110000014,261,260,1,"N/A"
"Smt. Geeta alias Chandraprabha (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,169877016.35,86.64,210,37,85.02,26186940.76000002,313,313,0,"N/A"
"Shri B.L. Verma (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,168937264.09,86.16,350,64,84.54,27126693.02000001,804,803,1,"N/A"
"Smt. Sumitra Balmik (2022-28)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",196063957.11,163767349,83.53,62,116,34.83,32296608.110000014,419,418,1,"N/A"
"Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,160977854.28,82.1,125,68,64.77,35086102.83000001,260,250,10,"N/A"
"Shri Ramji (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",174518577.11,141923083,81.32,154,91,62.86,32595494.110000014,258,174,84,"N/A"
"Prof. Ram Gopal Yadav (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",221271395.11,178725656,80.77,25,56,30.86,42545739.110000014,125,123,2,"N/A"
"Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",260812242.52,207877791,79.7,189,55,77.46,52934451.52000001,198,198,0,"N/A"
"Shri Hardeep Singh Puri (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",226801049.11,179856327.2,79.3,278,137,66.99,46944721.910000026,883,883,0,"N/A"
"Shri Khiru Mahto (2022-28)","Sitting Rajya Sabha","Bihar","Rajya Sabha",235770091.81,183791258,77.95,171,6,96.61,51978833.81,176,176,0,"N/A"
"Smt. Seema Dwivedi (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",173830159.11,135282718.4,77.82,209,199,51.23,38547440.71000001,313,299,14,"N/A"
"Dr. Faiyaz Ahmad (2022-28)","Sitting Rajya Sabha","Bihar","Rajya Sabha",235263957.11,181186677,77.01,130,59,68.78,54077280.110000014,172,165,7,"N/A"
"Smt. Ranjeet Ranjan (2022-28)","Sitting Rajya Sabha","Chhattisgarh","Rajya Sabha",246780257.87,185739464,75.27,157,124,55.87,61040793.870000005,452,430,22,"N/A"
"Dr. Bhim Singh (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha",186200000,139819329,75.09,233,82,73.97,46380671,281,280,1,"N/A"
"Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",239763792.52,178930791,74.63,141,44,76.22,60833001.52000001,180,179,1,"N/A"
